Size,BlockSize,Time_sec,Speedup,Efficiency,Operations,Status
200,8,0.10195,1.0,100.0,8000000,PASSED
200,16,0.00082615,123.4,3085.0,8000000,PASSED
200,32,0.00101075,100.87,630.4,8000000,PASSED
400,8,0.00264558,1.0,100.0,64000000,PASSED
400,16,0.00266864,0.99,24.8,64000000,PASSED
400,32,0.002786,0.95,5.9,64000000,PASSED
800,8,0.0131214,1.0,100.0,512000000,PASSED
800,16,0.0148316,0.88,22.0,512000000,PASSED
800,32,0.0125209,1.05,6.6,512000000,PASSED
1200,8,0.0354245,1.0,100.0,1728000000,PASSED
1200,16,0.0351144,1.01,25.2,1728000000,PASSED
1200,32,0.0357314,0.99,6.2,1728000000,PASSED
1600,8,0.0754223,1.0,100.0,4096000000,PASSED
1600,16,0.0717385,1.05,26.2,4096000000,PASSED
1600,32,0.0715566,1.05,6.6,4096000000,PASSED
2000,8,0.173793,1.0,100.0,8000000000,PASSED
2000,16,0.194192,0.89,22.2,8000000000,PASSED
2000,32,0.152247,1.14,7.1,8000000000,PASSED
