Size,Threads,Time_sec,Speedup,Efficiency,Operations,Status
200,1,0.00701968,1.0,100.0,8000000,PASSED
200,2,0.00306468,2.29,114.5,8000000,PASSED
200,4,0.00319264,2.2,55.0,8000000,PASSED
200,8,0.00281398,2.49,31.1,8000000,PASSED
400,1,0.0606912,1.0,100.0,64000000,PASSED
400,2,0.0263753,2.3,115.0,64000000,PASSED
400,4,0.0142011,4.27,106.7,64000000,PASSED
400,8,0.0195825,3.1,38.8,64000000,PASSED
800,1,0.820348,1.0,100.0,512000000,PASSED
800,2,0.32891,2.49,124.5,512000000,PASSED
800,4,0.179543,4.57,114.2,512000000,PASSED
800,8,0.281873,2.91,36.4,512000000,PASSED
1200,1,3.97919,1.0,100.0,1728000000,PASSED
1200,2,2.24121,1.78,89.0,1728000000,PASSED
1200,4,1.2505,3.18,79.5,1728000000,PASSED
1200,8,1.31593,3.02,37.8,1728000000,PASSED
1600,1,10.4775,1.0,100.0,4096000000,PASSED
1600,2,6.00477,1.74,87.0,4096000000,PASSED
1600,4,3.14728,3.33,83.2,4096000000,PASSED
1600,8,2.5775,4.06,50.7,4096000000,PASSED
2000,1,36.9259,1.0,100.0,8000000000,PASSED
2000,2,15.7938,2.34,117.0,8000000000,PASSED
2000,4,6.87083,5.37,134.2,8000000000,PASSED
2000,8,6.47807,5.7,71.2,8000000000,PASSED
