Size,Processes,Time_sec,Speedup,Efficiency,Operations,Status
200,1,0.042,1.00,100.0,8000000,PASSED
200,2,0.021,2.00,100.0,8000000,PASSED
200,4,0.011,3.82,95.5,8000000,PASSED
200,8,0.006,7.00,87.5,8000000,PASSED
400,1,0.350,1.00,100.0,64000000,PASSED
400,2,0.175,2.00,100.0,64000000,PASSED
400,4,0.092,3.80,95.0,64000000,PASSED
400,8,0.048,7.29,91.1,64000000,PASSED
800,1,2.700,1.00,100.0,512000000,PASSED
800,2,1.360,1.99,99.5,512000000,PASSED
800,4,0.715,3.78,94.5,512000000,PASSED
800,8,0.375,7.20,90.0,512000000,PASSED
1200,1,8.500,1.00,100.0,1728000000,PASSED
1200,2,4.300,1.98,99.0,1728000000,PASSED
1200,4,2.230,3.81,95.3,1728000000,PASSED
1200,8,1.190,7.14,89.3,1728000000,PASSED
1600,1,20.200,1.00,100.0,4096000000,PASSED
1600,2,10.350,1.95,97.5,4096000000,PASSED
1600,4,5.260,3.84,96.0,4096000000,PASSED
1600,8,2.750,7.35,91.9,4096000000,PASSED
2000,1,40.000,1.00,100.0,8000000000,PASSED
2000,2,20.200,1.98,99.0,8000000000,PASSED
2000,4,10.250,3.90,97.5,8000000000,PASSED
2000,8,5.400,7.41,92.6,8000000000,PASSED
